test_get_stack_rawtp_err	26	license+raw_tracepoint	stacktrace
test_obj_id	26	.maps+raw_tp	maps
bpf_iter_bpf_map	27	iter+license	vmlinux
fexit_bpf2bpf_simple	27	fexit+license	core
prepare	27	.maps+cgroup_skb+license	maps,vmlinux
string_kfuncs_failure2	27	license+syscall	vmlinux
test_sockmap_msg_pop_data	27	.maps+license+sk_msg	maps,vmlinux
test_xdp_with_cpumap_frags_helpers	27	.maps+license+xdp+xdp.frags	maps
test_xdp_with_devmap_frags_helpers	27	.maps+license+xdp+xdp.frags	maps
uptr_map_failure	27	.maps	maps,vmlinux
test_d_path_check_rdonly_mem	28	fentry+license	vmlinux,kfunc
test_kernel_flag	28	license+lsm.s	vmlinux
test_signed_loader_map	28	.maps+license+socket	maps,vmlinux
test_skb_helpers	28	.maps+license+tc	maps,vmlinux
test_subskeleton	28	license+raw_tp	-
verifier_may_goto_2	28	license+raw_tp	iters
find_vma_fail2	29	license+raw_tp	vmlinux
struct_ops_maybe_null	29	.struct_ops.link+license+struct_ops	vmlinux
tcp_ca_incompl_cong_ops	29	.struct_ops+license+struct_ops	-
test_ptr_untrusted	29	license+lsm.s+raw_tracepoint	vmlinux
test_sk_storage_trace_itself	29	.maps+fentry+license	maps,vmlinux
test_xdp_devmap_tailcall	29	.maps+xdp	maps,vmlinux,tailcall
verifier_default_trusted_ptr	29	license+syscall	vmlinux
cgroup_mprog	30	cgroup+license	vmlinux
find_vma_fail1	30	license+raw_tp	vmlinux
for_each_hash_modify	30	.maps+license+tc	maps,vmlinux,iters
livepatch_trampoline	30	fentry+fexit	-
missed_kprobe	30	fentry+kprobe+license	vmlinux
struct_ops_kptr_return	30	.struct_ops.link+license+struct_ops	vmlinux,kfunc
test_deny_namespace	30	license+lsm.s	-
test_signed_loader_lsm	30	license+lsm	vmlinux
test_verif_scale1	30	license+tc	bpf2bpf
test_verif_scale2	30	license+tc	vmlinux
test_verif_scale3	30	license+tc	bpf2bpf
update_map_in_htab	30	.maps+license	maps
getpeername6_prog	31	cgroup+license	core,vmlinux
getsockname6_prog	31	cgroup+license	core,vmlinux
loop5	31	license+socket	-
raw_tp_null	31	license+tp_btf	vmlinux
struct_ops_refcounted	31	.struct_ops.link+license+struct_ops	vmlinux,kfunc
test_build_id	31	license+uprobe.multi+uprobe.multi.s	stacktrace,vmlinux
test_ksyms_btf_null_check	31	license+raw_tp	vmlinux,kfunc
tailcall4	32	.maps+license+tc	maps,tailcall
tailcall_cgrp_storage_owner	32	.maps+cgroup_skb+license	maps,vmlinux,tailcall
