kfunc_call_destructive	EQUIV
kfunc_call_fail	BAIL
kfunc_call_race	EQUIV
kfunc_call_test	BAIL
kfunc_implicit_args_tracing	EQUIV
kfunc_module_order	EQUIV
kmem_cache_iter	TIMEOUT
kprobe_multi	EQUIV
kprobe_multi_empty	EQUIV
kprobe_multi_override	EQUIV
kprobe_multi_session	EQUIV
kprobe_multi_session_cookie	EQUIV
kprobe_multi_sleepable	EQUIV
kprobe_write_ctx	EQUIV
ksock_lsm	BAIL
ksock_wq	BAIL
ksym_race	EQUIV
lirc_mode2	EQUIV
livepatch_trampoline	EQUIV
load_bytes_relative	EQUIV
local_storage	BAIL
loop1	BAIL
loop2	EQUIV
loop3	TIMEOUT
loop4	EQUIV
loop5	EQUIV
loop6	TIMEOUT
lpm_trie_map	NOPROGS
lru_bug	EQUIV
lru_lock_nmi	EQUIV
lsm	EQUIV
lsm_bdev	EQUIV
lsm_cgroup_nonvoid	EQUIV
lsm_tailcall	EQUIV
lwt_misc	EQUIV
map_excl	EQUIV
metadata_unused	EQUIV
metadata_used	EQUIV
missed_kprobe	EQUIV
missed_kprobe_recursion	EQUIV
missed_tp_recursion	EQUIV
mmap_inner_array	EQUIV
modify_return	EQUIV
mptcp_sock	BAIL
mptcp_sockmap	EQUIV
mptcp_subflow	BAIL
mptcpify	EQUIV
nested_acquire	BAIL
nested_trust_success	EQUIV
net_timestamping	BAIL
netcnt_prog	EQUIV
netif_receive_skb	BAIL
netns_cookie_prog	EQUIV
perf_event_stackmap	BAIL
prepare	EQUIV
priv_freplace_prog	EQUIV
priv_map	NOPROGS
priv_prog	EQUIV
pro_epilogue	EQUIV
pro_epilogue_goto_start	EQUIV
pro_epilogue_with_kfunc	EQUIV
profiler1	BAIL
profiler2	BAIL
profiler3	BAIL
pyperf100	TIMEOUT
pyperf180	TIMEOUT
pyperf50	TIMEOUT
pyperf600	TIMEOUT
pyperf600_bpf_loop	BAIL
pyperf600_iter	TIMEOUT
pyperf600_nounroll	TIMEOUT
pyperf_global	TIMEOUT
pyperf_subprogs	TIMEOUT
raw_tp_null	EQUIV
rbtree_btf_fail__add_wrong_type	BAIL
rbtree_btf_fail__wrong_node_type	BAIL
rcu_read_lock	EQUIV
rcu_tasks_trace_gp	EQUIV
read_cgroupfs_xattr	TIMEOUT
read_vsyscall	EQUIV
recursion	BAIL
recvmsg6_prog	EQUIV
recvmsg_unix_prog	BAIL
res_spin_lock	UNKNOWN
rhash	TIMEOUT
security_bpf_map	BAIL
sendmsg4_prog	EQUIV
sendmsg6_prog	EQUIV
sendmsg_unix_prog	BAIL
set_global_vars	EQUIV
sk_storage_omem_uncharge	EQUIV
skb_load_bytes	EQUIV
skb_pkt_end	EQUIV
sock_addr_kern	EQUIV
sock_destroy_prog	EQUIV
sock_iter_batch	BAIL
sock_ops_get_sk	EQUIV
sock_read_xattr	EQUIV
socket_cookie_prog	EQUIV
sockmap_parse_prog	EQUIV
sockmap_tcp_msg_prog	EQUIV
sockopt_inherit	EQUIV
sockopt_multi	EQUIV
sockopt_qos_to_cc	EQUIV
sockopt_sk	EQUIV
stack_arg	EQUIV
stack_arg_kfunc	EQUIV
stacktrace_map	BAIL
stacktrace_map_skip	EQUIV
stream	TIMEOUT
string_kfuncs_failure1	EQUIV
string_kfuncs_failure2	EQUIV
string_kfuncs_success	EQUIV
strobemeta	TIMEOUT
strobemeta_bpf_loop	BAIL
strobemeta_nounroll1	TIMEOUT
strobemeta_nounroll2	TIMEOUT
struct_ops_arena	EQUIV
struct_ops_arena_attach	EQUIV
struct_ops_assoc	EQUIV
struct_ops_assoc_in_timer	EQUIV
struct_ops_assoc_reuse	EQUIV
struct_ops_autocreate	EQUIV
struct_ops_autocreate2	EQUIV
struct_ops_detach	NOPROGS
struct_ops_id_ops_mapping1	EQUIV
struct_ops_id_ops_mapping2	EQUIV
struct_ops_kptr_return	EQUIV
struct_ops_maybe_null	EQUIV
struct_ops_module	EQUIV
struct_ops_multi_pages	EQUIV
struct_ops_nulled_out_cb	EQUIV
struct_ops_private_stack	EQUIV
struct_ops_private_stack_fail	EQUIV
struct_ops_private_stack_recur	EQUIV
struct_ops_refcounted	EQUIV
summarization_freplace	EQUIV
syscall	BAIL
tailcall1	EQUIV
tailcall2	EQUIV
tailcall3	EQUIV
tailcall4	EQUIV
tailcall5	EQUIV
tailcall6	EQUIV
tailcall_bpf2bpf1	EQUIV
tailcall_bpf2bpf2	BAIL
tailcall_bpf2bpf3	BAIL
